Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
14/07/2016,37.39,37.25,37.78,36.94,7.52M,1.11%,0.126204819
15/07/2016,36.55,37.64,37.83,36.38,10.00M,-2.25%,0.094639114
18/07/2016,37.04,36.58,37.48,35.97,6.84M,1.34%,0.105671642
19/07/2016,37.53,37,37.69,36.89,4.98M,1.32%,0.084995663
20/07/2016,37.8,37.3,37.98,36.78,3.51M,0.72%,0.073863636
21/07/2016,37.13,37.89,38.2,37.07,3.82M,-1.77%,0.0530346
22/07/2016,37.82,37.26,37.84,36.76,4.29M,1.86%,0.032768979
25/07/2016,36.9,37.43,37.47,36.73,5.34M,-2.43%,0.044438155
26/07/2016,38.61,36.8,38.77,36.58,5.79M,4.63%,0.172487094
27/07/2016,37.83,38.66,39.03,37.65,7.51M,-2.02%,0.059663866
28/07/2016,38.17,38.22,38.95,37.02,6.36M,0.90%,0.024422974
29/07/2016,39.39,38.01,39.61,37.63,8.33M,3.20%,0.037671233
01/08/2016,38.8,39.13,39.57,38.54,8.87M,-1.50%,-0.011968424
02/08/2016,38.79,39.31,39.78,38.23,6.05M,-0.03%,0.000257865
03/08/2016,41.22,38.37,41.45,38.37,10.37M,6.26%,0.129315068
04/08/2016,40.63,41.19,41.66,40.32,7.26M,-1.43%,0.145152198
05/08/2016,41.91,40.8,42.19,40.61,5.78M,3.15%,0.151373626
08/08/2016,41.93,42.24,42.59,41.69,5.42M,0.05%,0.150658617
09/08/2016,41.03,41.92,41.95,40.86,3.65M,-2.15%,0.092967501
10/08/2016,40.99,41.17,42.17,40.79,5.79M,-0.10%,0.108436993
11/08/2016,41.9,41.08,42.41,40.96,4.50M,2.22%,0.120620487
12/08/2016,41.71,42.14,42.17,41.01,5.27M,-0.45%,0.141176471
15/08/2016,41.21,41.72,41.77,40.91,4.11M,-1.20%,0.112580994
16/08/2016,42.13,41.16,42.39,41.14,4.94M,2.23%,0.122568612
17/08/2016,42.21,42.19,42.44,41.78,4.22M,0.19%,0.116666667
18/08/2016,42.49,42.28,42.5,41.77,4.34M,0.66%,0.144357662
19/08/2016,42.01,42.15,42.33,41.81,3.46M,-1.13%,0.110787943
22/08/2016,41.1,41.72,41.81,40.52,5.53M,-2.17%,0.113821138
23/08/2016,41.93,41.54,42.24,41.32,4.38M,2.02%,0.085988086
24/08/2016,41.97,42.11,42.37,41.65,4.46M,0.10%,0.109436955
25/08/2016,41.9,42.06,42.2,41.47,3.49M,-0.17%,0.097720723
26/08/2016,41.85,42.02,42.36,41.41,2.90M,-0.12%,0.062452399
29/08/2016,42.29,41.85,42.65,41.82,2.41M,1.05%,0.089948454
30/08/2016,42.68,42.37,42.77,41.96,2.87M,0.92%,0.100283578
31/08/2016,42.51,42.54,42.97,41.95,3.36M,-0.40%,0.031295488
01/09/2016,41.91,42.55,42.6,41.38,3.87M,-1.41%,0.031503815
02/09/2016,42.32,42.37,42.53,41.77,3.16M,0.98%,0.009782868
06/09/2016,42.97,42.56,43.14,42.25,4.00M,1.54%,0.024803244
07/09/2016,43.09,42.99,43.44,42.77,4.29M,0.28%,0.050207165
08/09/2016,43.45,43.29,43.86,42.73,4.81M,0.84%,0.060014638
09/09/2016,42.24,42.94,43.25,42.23,4.37M,-2.78%,0.008114558
12/09/2016,43.34,41.73,43.67,41.25,6.16M,2.60%,0.039079357
13/09/2016,42.5,42.58,43.11,42.05,4.36M,-1.94%,0.031303082
14/09/2016,41.87,42.46,43.03,41.51,5.30M,-1.48%,-0.006171374
15/09/2016,43.74,42.04,44.14,42.04,6.68M,4.47%,0.036247335
16/09/2016,43.62,43.09,43.84,42.43,7.02M,-0.27%,0.026594493
19/09/2016,43.73,43.96,44.56,43.41,6.62M,0.25%,0.040942633
20/09/2016,42.55,43.86,43.94,42.55,5.48M,-2.70%,0.035279805
21/09/2016,43.21,42.92,43.27,42.57,4.88M,1.55%,0.030527069
22/09/2016,42.69,43.6,43.82,42.67,5.65M,-1.20%,0.017155111
23/09/2016,42.28,42.29,42.97,41.44,7.78M,-0.96%,0.009069212
26/09/2016,41.48,42.49,42.67,41.44,6.55M,-1.89%,-0.008841099
27/09/2016,41.85,41.18,42.04,40.81,4.73M,0.89%,-0.010404351
28/09/2016,42.64,42.2,42.69,41.47,5.30M,1.89%,-0.000937207
29/09/2016,39.74,42.42,42.71,39.29,13.82M,-6.80%,-0.065161139
30/09/2016,40.59,40.11,40.99,39.52,7.76M,2.14%,-0.031496063
03/10/2016,40.96,40.77,41.03,40.27,5.33M,0.91%,-0.032136106
04/10/2016,41.38,41.11,42.31,41.09,4.11M,1.03%,-0.03700256
05/10/2016,42.27,41.84,42.65,41.67,4.10M,2.15%,-0.019029937
06/10/2016,42.36,42.61,42.7,41.64,5.61M,0.21%,-0.025086306
07/10/2016,41.77,42.36,42.47,41.51,4.43M,-1.39%,-0.011126894
10/10/2016,42.47,42.48,42.63,42.02,3.81M,1.68%,-0.020073835
11/10/2016,41.96,42.5,42.95,41.55,5.13M,-1.20%,-0.012705882
12/10/2016,41.66,41.81,41.99,40.95,3.74M,-0.71%,-0.005015524
13/10/2016,41.56,41.27,41.79,40.45,4.33M,-0.24%,-0.049839963
14/10/2016,41.65,41.94,41.98,41.14,4.64M,0.22%,-0.045162769
17/10/2016,41.85,41.64,42.28,41.45,4.10M,0.48%,-0.042991082
