Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
23/06/2022,87.89,93.75,94.2,87.26,13.55M,-5.56%,-0.197204969
24/06/2022,90.91,90,92.05,88.36,12.28M,3.44%,-0.182464029
27/06/2022,92.23,91.58,93.79,90.95,8.99M,1.45%,-0.184887318
28/06/2022,95.22,94.98,97.07,93.55,8.90M,3.24%,-0.169109948
29/06/2022,91.46,96.89,97.45,91.28,7.99M,-3.95%,-0.186009256
30/06/2022,89.81,88.56,91.71,87.83,12.75M,-1.80%,-0.224103672
01/07/2022,90.98,91.93,92.31,88.31,6.00M,1.30%,-0.208594294
05/07/2022,84.64,89.35,89.35,83.06,13.49M,-6.97%,-0.283440569
06/07/2022,83.34,83.71,85.69,80.44,12.13M,-1.54%,-0.289998296
07/07/2022,86.35,86.19,87.21,85.68,8.07M,3.61%,-0.296308369
08/07/2022,86.46,87.53,87.86,84.67,5.62M,0.13%,-0.290497292
11/07/2022,85.55,85.59,86.6,84.19,4.69M,-1.05%,-0.278424426
12/07/2022,83.45,82.56,84.04,81.61,5.57M,-2.45%,-0.285714286
13/07/2022,83.11,82.36,85.19,82.36,5.54M,-0.41%,-0.256352899
14/07/2022,81.61,79.83,81.77,78.3,8.89M,-1.80%,-0.268006099
15/07/2022,82.89,83.87,83.94,81.82,5.90M,1.57%,-0.241836641
18/07/2022,85.07,84.74,86.39,84.65,7.06M,2.63%,-0.169400508
19/07/2022,88.48,85.41,88.71,84.88,6.67M,4.01%,-0.056112652
20/07/2022,90.71,87.75,91.22,87.22,7.72M,2.52%,-0.086321515
21/07/2022,88.93,87.35,89.06,86.87,8.02M,-1.96%,-0.04437997
22/07/2022,88.13,89.21,90.19,87.54,6.24M,-0.90%,0.002730686
25/07/2022,92.05,89.46,92.14,87.79,5.82M,4.45%,0.012539875
26/07/2022,91.09,93.44,94.18,89.97,7.13M,-1.04%,-0.012360403
27/07/2022,93.27,92.04,93.66,91.29,6.24M,2.39%,-0.020478891
28/07/2022,94.06,94.22,95.26,92.6,4.66M,0.85%,0.028427728
29/07/2022,97.43,96.18,97.92,95.4,7.39M,3.58%,0.084845786
01/08/2022,95.1,95.31,96.06,93.68,5.60M,-2.39%,0.045284678
02/08/2022,94.71,95.1,95.85,93.93,4.65M,-0.41%,0.11897448
03/08/2022,91.32,95.35,95.68,90.43,6.78M,-3.58%,0.09575234
04/08/2022,89.88,92.74,93,89.28,7.81M,-1.58%,0.040880139
05/08/2022,92.85,88.22,93.42,88,5.85M,3.30%,0.073907009
08/08/2022,93.63,93.02,94.69,92.85,4.79M,0.84%,0.094447691
09/08/2022,95.51,95.3,97.28,94.86,7.48M,2.01%,0.144517675
10/08/2022,95.98,95.39,96.31,93.16,5.63M,0.49%,0.154855011
11/08/2022,100.36,98.12,101.32,97.52,6.48M,4.56%,0.229751256
12/08/2022,102.75,99.75,102.96,99.35,6.68M,2.38%,0.239594644
15/08/2022,100.77,98.39,101.46,97.55,6.59M,-1.93%,0.184553897
16/08/2022,100.1,101.21,102.05,98.93,6.92M,-0.66%,0.131329114
17/08/2022,101.36,100.1,102.69,99.77,5.35M,1.26%,0.117407122
18/08/2022,104.88,102.65,105.11,102.22,5.97M,3.47%,0.179354549
19/08/2022,105.14,104.59,105.69,103.53,7.07M,0.25%,0.193010326
22/08/2022,105.24,103.67,105.69,102.54,6.70M,0.10%,0.143291689
23/08/2022,108.45,107.23,110.68,106.74,8.25M,3.05%,0.190580744
24/08/2022,110.52,108.11,110.76,107.84,6.29M,1.91%,0.184946928
25/08/2022,112.08,111.45,112.14,110.65,5.24M,1.41%,0.191579843
26/08/2022,112.12,112.62,114.25,111.49,6.51M,0.04%,0.150774915
29/08/2022,113.42,112.09,115.47,111.89,6.48M,1.16%,0.192639327
30/08/2022,110.5,111.17,111.51,108.9,7.75M,-2.57%,0.166719459
31/08/2022,109.45,107.85,111.86,107.05,6.78M,-0.95%,0.198532633
01/09/2022,107.53,107.78,108.94,105.75,6.72M,-1.75%,0.196372942
02/09/2022,110.26,109.64,112,109,6.10M,2.54%,0.187506731
06/09/2022,108.63,111,111.68,108.08,7.27M,-1.48%,0.160205062
07/09/2022,106.76,105.82,107.51,104.76,6.89M,-1.72%,0.117788713
08/09/2022,108.32,107.34,109.19,106.6,7.15M,1.46%,0.128568452
09/09/2022,111.97,110.05,112.42,109.87,6.09M,3.37%,0.115683539
12/09/2022,114.39,112.95,115.41,112.82,6.21M,2.16%,0.113284672
13/09/2022,112.33,112.9,114.39,111.82,6.98M,-1.80%,0.114716682
14/09/2022,117.71,113.69,118.39,113.46,9.46M,4.79%,0.175924076
15/09/2022,115.56,115.14,117.22,114.63,10.00M,-1.83%,0.140094712
16/09/2022,113.13,115.57,115.64,111.2,14.61M,-2.10%,0.078661327
