Date,Price,Open,High,Low,Vol,Change_Short,Change_Long
19/07/2018,121.67,121.1,122.14,121.01,4.47M,0.12%,-0.028892968
20/07/2018,122.27,121.25,122.35,121.01,5.40M,0.49%,-0.002610327
23/07/2018,121.33,122.35,123.07,121.16,5.36M,-0.77%,-0.030135891
24/07/2018,123.85,121.87,124.16,121.86,4.42M,2.08%,0.010113368
25/07/2018,124.9,123.62,125.23,123.27,4.27M,0.85%,0.005960052
26/07/2018,123.95,124.7,125.38,123.8,5.54M,-0.76%,-0.016269841
27/07/2018,125.97,122.79,127.04,122.08,7.58M,1.63%,0.002466974
30/07/2018,127.83,126.76,128.41,126.22,5.73M,1.48%,0.011073321
31/07/2018,126.27,128,128.55,126.13,5.89M,-1.22%,0.016257545
01/08/2018,125.39,125.31,125.92,124.75,4.66M,-0.70%,0.005291429
02/08/2018,123.76,124.44,124.81,123.3,4.64M,-1.30%,-0.00177448
03/08/2018,124.05,124.15,124.25,123.33,5.30M,0.23%,-0.000724988
06/08/2018,124.3,124.42,124.94,123.54,4.46M,0.20%,-0.013413763
07/08/2018,125.18,125.54,125.7,124.75,4.54M,0.71%,-0.018888628
08/08/2018,123.88,124.52,124.79,123.31,5.96M,-1.04%,0.002914508
09/08/2018,122.53,123.96,124.37,122.26,5.22M,-1.09%,-0.013922421
10/08/2018,123.34,122.17,123.52,121.5,6.13M,0.66%,-0.005643341
13/08/2018,122.44,123.31,123.68,122.26,4.36M,-0.73%,-0.004390958
14/08/2018,122.58,122.92,123.65,122,3.62M,0.11%,0.005495858
15/08/2018,117.94,121.7,121.73,117.43,9.48M,-3.79%,-0.029540031
16/08/2018,117.66,117.7,118.31,117.18,5.46M,-0.24%,-0.032958001
17/08/2018,117.8,118.15,118.58,117.09,6.11M,0.12%,-0.036558436
20/08/2018,117.75,118,118.32,117.33,5.40M,-0.04%,-0.029506305
21/08/2018,117.94,118.38,118.93,117.79,4.88M,0.16%,-0.047719015
22/08/2018,118.92,118.54,119.46,118.42,3.64M,0.83%,-0.047878303
23/08/2018,118.1,118.39,118.82,117.7,3.96M,-0.69%,-0.04719645
24/08/2018,119.01,118.9,119.54,118.72,4.42M,0.77%,-0.05525125
27/08/2018,120.35,119.36,120.48,119.17,3.90M,1.13%,-0.058515216
28/08/2018,119.86,120.6,121.34,119.75,4.69M,-0.41%,-0.050764235
29/08/2018,120.22,120,120.83,119.88,4.10M,0.30%,-0.041231358
30/08/2018,119.81,120.08,120.43,119.55,3.35M,-0.34%,-0.031916613
31/08/2018,118.46,119.4,119.4,118.09,5.29M,-1.13%,-0.045062475
04/09/2018,118.87,118.93,119.63,118.34,4.59M,0.35%,-0.043684634
05/09/2018,118.92,118.06,118.94,117.26,4.62M,0.04%,-0.050007988
06/09/2018,115.23,117.89,118.51,115.14,8.19M,-3.10%,-0.069825638
07/09/2018,114.6,114.52,115.35,113.39,6.64M,-0.55%,-0.064718844
10/09/2018,114.48,115.43,115.72,114.38,5.87M,-0.10%,-0.071833955
11/09/2018,115.02,114.34,115.74,113.76,5.61M,0.47%,-0.060601111
12/09/2018,115.79,116.42,117.49,115.76,5.07M,0.67%,-0.055392397
13/09/2018,116.3,116.01,116.52,115.08,6.30M,0.44%,-0.013905376
14/09/2018,117.38,116.43,117.61,116.35,4.95M,0.93%,-0.002379738
17/09/2018,117.51,117.61,118.68,117.28,5.56M,0.11%,-0.0024618
18/09/2018,118.13,118.5,118.9,117.98,4.97M,0.53%,0.003227176
19/09/2018,119.51,118.33,120.04,118.12,4.86M,1.17%,0.013311853
20/09/2018,119.42,120.19,121.32,119.11,5.85M,-0.08%,0.004204507
21/09/2018,121.13,119.91,121.25,119.41,13.70M,1.43%,0.025656224
24/09/2018,122.62,121.91,122.98,121.57,6.53M,1.23%,0.030333585
25/09/2018,123.37,123.5,124.24,122.94,5.40M,0.61%,0.025093477
26/09/2018,121.95,122.99,123.42,121.74,4.23M,-1.15%,0.01743701
27/09/2018,122.47,122.16,123,121.71,4.53M,0.43%,0.018715688
28/09/2018,122.28,121.99,123.21,121.76,5.20M,-0.16%,0.020615975
01/10/2018,124.39,123.11,124.88,123.11,5.35M,1.73%,0.050059092
02/10/2018,124.74,125.07,125.76,124.32,5.45M,0.28%,0.049381677
03/10/2018,125.31,125.13,125.84,124.78,4.48M,0.46%,0.053733602
04/10/2018,124.95,124.79,125.59,124.19,4.82M,-0.29%,0.084353033
05/10/2018,125.33,124.93,125.9,124.74,4.32M,0.30%,0.093630017
08/10/2018,124.84,124.05,125.46,123.83,6.27M,-0.39%,0.090496157
09/10/2018,126.82,125.51,127.44,125.07,6.80M,1.59%,0.102590854
10/10/2018,122.6,127.23,127.6,122.46,6.50M,-3.33%,0.058813369
11/10/2018,118.43,122.43,122.43,117.54,8.59M,-3.40%,0.018314703
12/10/2018,117.77,119.53,119.68,116.18,7.45M,-0.56%,0.003322542
15/10/2018,116.94,117.7,118.86,116.91,6.05M,-0.70%,-0.004850651
16/10/2018,117.51,117.09,117.68,116.34,4.85M,0.49%,-0.005248455
17/10/2018,117.29,117.21,117.69,116.02,6.98M,-0.19%,-0.018575851
18/10/2018,117.47,117.42,118.14,116.05,7.39M,0.15%,-0.016328923
19/10/2018,118.14,117.37,119.26,117.37,7.94M,0.57%,-0.024684224
22/10/2018,117.21,118.1,118.49,116.48,5.64M,-0.79%,-0.044120046
23/10/2018,113.4,115.72,115.72,112.05,8.10M,-3.25%,-0.080813812
24/10/2018,110.21,113.72,114.17,110.07,8.04M,-2.81%,-0.096268963
25/10/2018,111.58,111.36,113.4,110.43,5.73M,1.24%,-0.088919735
26/10/2018,111.53,110.63,112.47,109.66,8.04M,-0.04%,-0.087912987
29/10/2018,108.93,112.04,112.07,107.54,8.60M,-2.33%,-0.124286518
30/10/2018,110.85,109.62,111.15,108.15,7.52M,1.76%,-0.111351611
31/10/2018,111.65,111.71,112.5,111.05,7.43M,0.72%,-0.109009656
01/11/2018,111.17,111.77,111.99,110.1,10.57M,-0.43%,-0.110284114
